id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,plataforma,duration_int,duration_type,score
as2821,movie,"clip: heavy rain sound on the river, 3 hours noise for sleep and meditation - ultra dark",Sin dato,Sin dato,Sin dato,Sin dato,2017,ALL,183 min,faith and spirituality,amazon,183,min,3.465141612200436
as2822,movie,clip: elsa from frozen cooking show game,pusic entertainment,Sin dato,Sin dato,Sin dato,2017,ALL,12 min,kids,amazon,12,min,3.573170731707317
as2827,movie,clay,andrew gunn,"imelda staunton, ian mcelhinney, ben-ryan davies, harry mcentire",Sin dato,Sin dato,2008,G,89 min,drama,amazon,89,min,3.49438202247191
as2828,movie,claudia oshry: disgraced queen,brian volk-weiss,claudia oshry,Sin dato,Sin dato,2020,18+,72 min,arts,amazon,72,min,3.547671840354768
as2829,movie,classical piano for sleep and relaxation,mark knight,Sin dato,Sin dato,Sin dato,2017,ALL,48 min,music videos and concerts,amazon,48,min,3.467935871743487
as2831,movie,classic nursery rhymes with little baby bum,cannis holder,Sin dato,Sin dato,Sin dato,2019,ALL,35 min,kids,amazon,35,min,3.563736263736264
as2832,movie,classic nursery rhymes by little baby bum - american sign language edition!,Sin dato,erin webbs,Sin dato,Sin dato,2019,ALL,27 min,kids,amazon,27,min,3.4660087719298245
as2833,movie,classic baby songs by little baby bum,cannis holder,"grace tamayo, erin webbs",Sin dato,Sin dato,2019,ALL,35 min,kids,amazon,35,min,3.57521186440678
as2834,movie,clan of the white lotus,lo lieh,"liu chia-hui, hui ying-hung, lo lieh",Sin dato,Sin dato,1980,16+,90 min,action,amazon,90,min,3.57516339869281
as2835,movie,city of joel,jesse sweet,Sin dato,Sin dato,Sin dato,2020,G,83 min,documentary,amazon,83,min,3.5676532769556024
as2836,movie,city of ghosts,matthew heineman,Sin dato,united states,Sin dato,2017,R,92 min,documentary,amazon,92,min,3.5651260504201683
as2837,movie,citizen k,alex gibney,mikhail khodorkovsky,Sin dato,Sin dato,2020,18+,126 min,documentary,amazon,126,min,3.4810526315789474
as2838,movie,circumstances 2,"ramon sloan, beasy jones","kenyatta deett, jamal ""gravy"" woolard, ciera angelia, demaris harvey, kristin clarke, david bianco, london johnson, tony lee, gratz, brenae clarke, frank brandon, steve piper",Sin dato,Sin dato,2020,18+,79 min,action,amazon,79,min,
as2839,movie,cider with rosie,philippa lowthorpe,"timothy spall, samantha morton, georgie smith, teddie-rose malleson-allen, dylan turland, georgia brinkworth, emma curtis, bebe cave, shola adewusi, matthew steer, annette crosbie, june whitfield, billy howle, sarah sweeney, isabella polkinghorne, libby easton, maya gerber, archie cox, ruby ashbourne serkis, jack harris, finn bennett, jessica hynes, ines de clercq, bob goody, anthony cozens, ian drysdale, jake hayward, james inkling, rafaella hutchinson",Sin dato,Sin dato,2015,13+,89 min,drama,amazon,89,min,3.6159274193548394
as2841,movie,christmas time with mila and morphle,arthur van merwijk,Sin dato,Sin dato,Sin dato,2019,ALL,37 min,animation,amazon,37,min,3.5513833992094863
as2842,movie,christmas recipe for romance,marco deufemia,"madeline leon, sebastian sacco",Sin dato,Sin dato,2019,G,88 min,comedy,amazon,88,min,3.543710021321961
as2843,movie,christmas on the bayou,leslie hope,"hilarie burton, tyler hilton, randy travis",Sin dato,Sin dato,2013,G,88 min,drama,amazon,88,min,3.5724489795918366
as2844,movie,christmas in mississippi,emily moss wilson,"jana kramer, wes brown, faith ford",Sin dato,Sin dato,2017,7+,93 min,drama,amazon,93,min,3.50328227571116
as2845,movie,christmas finger family and more,hooplakidz,Sin dato,Sin dato,Sin dato,2019,ALL,20 min,animation,amazon,20,min,3.476987447698745
as2846,movie,christmas coupon,daniel knudsen,"courtney matthews, aaron noble, robert laenen",Sin dato,Sin dato,2019,7+,93 min,comedy,amazon,93,min,3.5326797385620914
as2847,movie,christmas carols with elly and eva,hooplakidz,"elly, eva",Sin dato,Sin dato,2019,ALL,22 min,animation,amazon,22,min,
as2848,movie,christine jorgensen story,irving rapper,"john hansen, quinn redeker",Sin dato,Sin dato,1970,R,89 min,drama,amazon,89,min,3.569767441860465
as2849,movie,christian finnegan: the fun part,jay chapman,christian finnegan,Sin dato,Sin dato,2014,18+,61 min,arts,amazon,61,min,3.477987421383648
as2853,movie,chris porter: ugly and angry,jay chapman,chris porter,Sin dato,Sin dato,2014,G,61 min,arts,amazon,61,min,3.587448559670782
as2855,movie,chris claremont's x-men,patrick meaney,"chris claremont, jason aaron, art adams, lon brown",Sin dato,Sin dato,2018,7+,71 min,documentary,amazon,71,min,3.6386036960985626
as2856,movie,choricha mamla,priyadarshan jadhav,"jitendra joshi, amruta khanvilkar, aniket vishwasrao, kshitee jog, hemant dhome, kirti pendharkar",india,Sin dato,2020,13+,132 min,comedy,amazon,132,min,3.606828193832599
as2857,movie,choices,"rami alon, silvio narizzano","val avery, george barrows, christopher blande, pat buttram, paul carafotes, victor french, lelia goldoni, sonny gordon, art kimbro, demi moore, william r. moses, bryon murrow, stephen nichols, dennis patrick, don stark",Sin dato,Sin dato,1982,G,93 min,drama,amazon,93,min,3.620724346076458
as2858,movie,chocolate city,jean-claude la marre,"robert ri'chard, tyson beckford, deray davis, imani hakim, darrin dewitt henson",united states,Sin dato,2015,R,91 min,drama,amazon,91,min,3.6403508771929824
as2859,movie,chitralahari,kishore tirumala,"sai dharam tej, kalyani priyadarshin, nivetha pethuraj",Sin dato,Sin dato,2019,ALL,119 min,drama,amazon,119,min,3.523333333333333
as2860,movie,chisholm '72: unbought & unbossed,shola lynch,"shirley chisholm, ronald v. dellums, barbara lee",Sin dato,Sin dato,2004,13+,76 min,documentary,amazon,76,min,3.555555555555556
as2861,movie,china's new silk road,elvire berahya lazarus,Sin dato,Sin dato,Sin dato,2019,7+,53 min,documentary,amazon,53,min,3.489919354838709
as2863,movie,children of the corn,fritz kiersch,"peter horton, linda hamilton",Sin dato,Sin dato,1984,R,92 min,horror,amazon,92,min,3.4754797441364604
as2866,movie,chikati gadilo chithakotudu,santosh p jayakumar,"arun adith, hemanth, nikki tamboli, bhagyashree mote",Sin dato,Sin dato,2019,18+,107 min,comedy,amazon,107,min,3.515657620041753
